Coach,School,Conference,,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,,Since,W,L,W-L%,NCAA,S16,FF,Chmp,,W,L,W-L%,NCAA,S16,FF,Chmp
Dwayne Killings,Albany (NY),AEC,,13,19,.406,,,,,2021-22,34,60,.362,,,,,,34,60,.362,,,,
Eric Konkol,Tulsa,AAC,,16,15,.516,,,,,2022-23,21,40,.344,,,,,,174,115,.602,,,,
Brad Korn,Southeast Missouri State,OVC,,9,22,.290,,,,,2020-21,53,73,.421,1,,,,,53,73,.421,1,,,
Tod Kowalczyk,Toledo,MAC,,20,12,.625,,,,,2010-11,278,181,.606,,,,,,414,293,.586,,,,
Chris Kraus,Stonehill,NEC,,4,27,.129,,,,,2022-23,18,44,.290,,,,,,18,44,.290,,,,
Rob Krimmel,Saint Francis (PA),NEC,,8,22,.267,,,,,2012-13,155,210,.425,,,,,,155,210,.425,,,,
Kevin Kruger,UNLV,MWC,,21,13,.618,,,,,2021-22,58,40,.592,,,,,,58,40,.592,,,,
Kevin Kuwik,Army,Patriot,,10,22,.312,,,,,2023-24,10,22,.312,,,,,,10,22,.312,,,,
Jay Ladner,Southern Miss,Sun Belt,,16,16,.500,,,,,2019-20,65,89,.422,,,,,,141,177,.443,,,,
Billy Lange,St. Joseph's,A-10,,21,14,.600,,,,,2019-20,59,91,.393,,,,,,151,206,.423,,,,
Matt Langel,Colgate,Patriot,,25,10,.714,,,Lost First Round,,2011-12,227,184,.552,5,,,,,227,184,.552,5,,,
Rob Lanier,SMU,AAC,,20,13,.606,,,,,2022-23,30,35,.462,,,,,,141,135,.511,2,,,
Jim Larranaga,Miami (FL),ACC,,15,17,.469,13,,,,2011-12,270,166,.619,6,4,1,,,712,475,.600,11,5,2,
Anthony Latina,Sacred Heart,NEC,,16,16,.500,,,,,2013-14,141,193,.422,,,,,,141,193,.422,,,,
Steve Lavin,San Diego,WCC,,18,15,.545,,,,,2022-23,29,35,.453,,,,,,266,185,.590,8,5,,
Shantay Legans,Portland,WCC,,12,21,.364,,,,,2021-22,45,55,.450,,,,,,120,104,.536,1,,,
Grant Leonard,Queens (NC),A-Sun,,14,19,.424,,,,,2022-23,32,34,.485,,,,,,32,34,.485,,,,
Jim Les,UC-Davis,Big West,,20,13,.606,,,,,2011-12,195,199,.495,1,,,,,349,339,.507,2,1,,
Michael Lewis,Ball State,MAC,,15,16,.484,,,,,2022-23,35,28,.556,,,,,,35,28,.556,,,,
Jeff Linder,Wyoming,MWC,,15,17,.469,,,,,2020-21,63,59,.516,1,,,,,143,109,.567,1,,,
Tommy Lloyd,Arizona,Pac-12,,27,9,.750,12,11,Lost Regional Semifinal,,2021-22,88,20,.815,3,2,,,,88,20,.815,3,2,,
Matt Logie,Montana State,Big Sky,,17,18,.486,,,Lost First Four,,2023-24,17,18,.486,1,,,,,17,18,.486,1,,,
Ryan Looney,Idaho State,Big Sky,,14,20,.412,,,,,2019-20,53,97,.353,,,,,,53,97,.353,,,,
Bart Lundy,Milwaukee,Horizon,,20,15,.571,,,,,2022-23,42,27,.609,,,,,,138,114,.548,,,,
Steve Lutz,Western Kentucky,CUSA,,22,12,.647,,,Lost First Round,,2023-24,22,12,.647,1,,,,,69,35,.663,3,,,
Carmen Maciariello,Siena,MAAC,,4,28,.125,,,,,2019-20,68,72,.486,,,,,,68,72,.486,,,,
Tony Madlock,Alabama State,SWAC,,13,19,.406,,,,,2022-23,21,42,.333,,,,,,37,62,.374,,,,
Mark Madsen,California,Pac-12,,13,19,.406,,,,,2023-24,13,19,.406,,,,,,83,70,.542,,,,
Mike Magpayo,UC-Riverside,Big West,,16,18,.471,,,,,2020-21,68,50,.576,,,,,,68,50,.576,,,,
Chris Markwood,Maine,AEC,,15,17,.469,,,,,2022-23,28,34,.452,,,,,,28,34,.452,,,,
Bob Marlin,Louisiana,Sun Belt,,19,14,.576,,,,,2010-11,266,189,.585,2,,,,,491,320,.605,4,,,
Phil Martelli Jr.,Bryant,AEC,,20,13,.606,,,,,2023-24,20,13,.606,,,,,,20,13,.606,,,,
Erik Martin,South Carolina State,MEAC,,14,18,.438,,,,,2022-23,19,44,.302,,,,,,19,44,.302,,,,
Frank Martin,UMass,A-10,,20,11,.645,,,,,2022-23,35,27,.565,,,,,,323,228,.586,5,2,1,
Mike Martin,Brown,Ivy,,13,18,.419,,,,,2012-13,148,171,.464,,,,,,148,171,.464,,,,
Bashir Mason,St. Peter's,MAAC,,19,14,.576,,,Lost First Round,,2022-23,33,32,.508,1,,,,,198,162,.550,1,,,
Thad Matta,Butler,Big East,,18,15,.545,,,,,2000-01,56,41,.577,1,,,,,471,187,.716,13,6,2,
