Coach,School,Conference,,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,,Since,W,L,W-L%,NCAA,S16,FF,Chmp,,W,L,W-L%,NCAA,S16,FF,Chmp
Joe Jones,Boston University,Patriot,,15,17,.469,,,,,2011-12,202,174,.537,,,,,,288,282,.505,,,,
Johnny Jones,Texas Southern,SWAC,,14,21,.400,,,Lost First Four,,2018-19,90,73,.552,3,,,,,385,307,.556,6,,,
Mike Jones,UNC Greensboro,Southern,,20,12,.625,,,,,2021-22,37,27,.578,,,,,,211,177,.544,1,,,
Robert Jones,Norfolk State,MEAC,,22,11,.667,,,,,2013-14,188,137,.578,2,,,,,188,137,.578,2,,,
Mike Jordan,Lafayette,Patriot,,9,20,.310,,,,,2022-23,9,20,.310,,,,,,9,20,.310,,,,
Edward Joyner Jr,Hampton,CAA,,8,24,.250,,,,,2009-10,213,233,.478,3,,,,,213,233,.478,3,,,
Jon Judkins,Utah Tech,WAC,,14,19,.424,,,,,2020-21,35,50,.412,,,,,,35,50,.412,,,,
Greg Kampe,Oakland,Horizon,,13,19,.406,,,,,1999-00,413,361,.534,3,,,,,413,361,.534,3,,,
Kevin Keatts,NC State,ACC,,23,11,.676,,,Lost First Round,,2017-18,113,79,.589,2,,,,,185,107,.634,4,,,
Kyle Keller *,Stephen F. Austin,WAC,,19,13,.594,,,,,2016-17,145,69,.678,1,,,,,145,69,.678,1,,,
Pat Kelsey,College of Charleston,CAA,,31,4,.886,,,Lost First Round,,2021-22,48,19,.716,1,,,,,234,114,.672,3,,,
Andy Kennedy,UAB,CUSA,,29,10,.744,,,,,2020-21,78,25,.757,1,,,,,344,194,.639,3,,,
Brian Kennedy,NJIT,AEC,,7,23,.233,,,,,2016-17,81,123,.397,,,,,,81,123,.397,,,,
Dustin Kerns,Appalachian State,Sun Belt,,16,16,.500,,,,,2019-20,70,58,.547,1,,,,,101,95,.515,1,,,
David Kiefer,Southeastern Louisiana,Southland,,18,14,.562,,,,,2019-20,53,70,.431,,,,,,53,70,.431,,,,
Dwayne Killings,Albany (NY),AEC,,8,23,.258,,,,,2021-22,21,41,.339,,,,,,21,41,.339,,,,
Eric Konkol,Tulsa,AAC,,5,25,.167,,,,,2022-23,5,25,.167,,,,,,158,100,.612,,,,
Brad Korn,Southeast Missouri State,OVC,,19,17,.528,,,Lost First Four,,2020-21,44,51,.463,1,,,,,44,51,.463,1,,,
Tod Kowalczyk,Toledo,MAC,,27,8,.771,,,,,2010-11,258,169,.604,,,,,,394,281,.584,,,,
Chris Kraus,Stonehill,NEC,,14,17,.452,,,,,2022-23,14,17,.452,,,,,,14,17,.452,,,,
Rob Krimmel,Saint Francis (PA),NEC,,13,18,.419,,,,,2012-13,147,188,.439,,,,,,147,188,.439,,,,
Kevin Kruger,UNLV,MWC,,19,13,.594,,,,,2021-22,37,27,.578,,,,,,37,27,.578,,,,
Jay Ladner,Southern Miss,Sun Belt,,25,8,.758,,,,,2019-20,49,73,.402,,,,,,125,161,.437,,,,
Billy Lange,St. Joseph's,A-10,,16,17,.485,,,,,2019-20,38,77,.330,,,,,,130,192,.404,,,,
Matt Langel,Colgate,Patriot,,26,9,.743,,,Lost First Round,,2011-12,202,174,.537,4,,,,,202,174,.537,4,,,
Rob Lanier,SMU,AAC,,10,22,.312,,,,,2022-23,10,22,.312,,,,,,121,122,.498,2,,,
Jim Larranaga,Miami (FL),ACC,,29,8,.784,,16,Lost National Semifinal,,2011-12,255,149,.631,6,4,1,,,697,458,.603,11,5,2,
Anthony Latina,Sacred Heart,NEC,,16,17,.485,,,,,2013-14,125,177,.414,,,,,,125,177,.414,,,,
Steve Lavin,San Diego,WCC,,11,20,.355,,,,,2022-23,11,20,.355,,,,,,248,170,.593,8,5,,
Shantay Legans,Portland,WCC,,14,19,.424,,,,,2021-22,33,34,.493,,,,,,108,83,.565,1,,,
Grant Leonard,Queens (NC),A-Sun,,18,15,.545,,,,,2022-23,18,15,.545,,,,,,18,15,.545,,,,
Jim Les,UC-Davis,Big West,,18,14,.562,,,,,2011-12,175,186,.485,1,,,,,329,326,.502,2,1,,
Michael Lewis,Ball State,MAC,,20,12,.625,,,,,2022-23,20,12,.625,,,,,,20,12,.625,,,,
Jeff Linder,Wyoming,MWC,,9,22,.290,,,,,2020-21,48,42,.533,1,,,,,128,92,.582,1,,,
Tommy Lloyd,Arizona,Pac-12,,28,7,.800,17,8,Lost First Round,,2021-22,61,11,.847,2,1,,,,61,11,.847,2,1,,
Ryan Looney,Idaho State,Big Sky,,11,21,.344,,,,,2019-20,39,77,.336,,,,,,39,77,.336,,,,
